time,disloc_density_0,disloc_density_1,disloc_density_10,disloc_density_11,disloc_density_2,disloc_density_3,disloc_density_4,disloc_density_5,disloc_density_6,disloc_density_7,disloc_density_8,disloc_density_9,disp_y,fp_yy,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,stress_vm,stress_yy,total_twin_volume_fraction
1.25e-06,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,3.6707531766631e-07,1,1.3394200737551e-224,0,0,-1.3393794787156e-224,-1.3393774573008e-224,-1.3393794704369e-224,0,-1.3393769030951e-224,-1.3393789840918e-224,0,-1.3393796396228e-224,1.3394191374013e-224,17.372397117434,17.372397151078,0
3.75e-06,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,1.1012259503993e-06,1,6.9900685383436e-177,0,0,-6.9896326247331e-177,-6.9896214356511e-177,-6.9896332701607e-177,0,-6.9896187807589e-177,-6.9896413117985e-177,0,-6.9896334804388e-177,6.9900473983241e-177,52.146180659516,52.14618125134,0
8.75e-06,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,2.5695271768251e-06,1,4.4987166086326e-140,0,0,-4.4975100832996e-140,-4.4975115130971e-140,-4.497516701923e-140,0,-4.4975001516859e-140,-4.4975433322432e-140,0,-4.4975123807739e-140,4.4986874829949e-140,121.8098162864,121.80982581515,0
1.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.5061297632143e-06,1,5.9431490900985e-107,0,0,-5.9431489912858e-107,-5.943148967301e-107,-5.9431489736943e-107,0,-5.9431489682677e-107,-5.9431489908713e-107,0,-5.9431489881577e-107,5.94314910443e-107,261.60228296461,261.60228296491,0
2.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,8.4427323035925e-06,1,2.2875115135386e-88,0,0,-2.2875114887782e-88,-2.2875114830042e-88,-2.2875114847688e-88,0,-2.2875114832407e-88,-2.2875114887654e-88,0,-2.2875114880397e-88,2.2875115171234e-88,402.01672663642,402.01672663676,0
3.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,1.1379334843971e-05,1,2.2101777993764e-75,0,0,-2.2101777817114e-75,-2.2101777778052e-75,-2.2101777791352e-75,0,-2.2101777779689e-75,-2.2101777817804e-75,0,-2.2101777812799e-75,2.2101778019345e-75,543.05523246816,543.05523246852,0
4.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,1.4315937384349e-05,1,2.1696309039562e-65,0,0,-2.1696308902789e-65,-2.1696308874263e-65,-2.1696308884974e-65,0,-2.1696308875529e-65,-2.1696308904003e-65,0,-2.1696308900428e-65,2.1696309059546e-65,684.71989180396,684.71989180434,0
5.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,1.7252539924727e-05,1,2.8931268213479e-57,0,0,-2.8931268063903e-57,-2.8931268034071e-57,-2.8931268046095e-57,0,-2.8931268035448e-57,-2.8931268065749e-57,0,-2.8931268062115e-57,2.8931268235623e-57,827.01280482965,827.01280483002,0
6.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,2.0189142465106e-05,1,2.0393715477554e-50,0,0,-2.0393715388739e-50,-2.0393715371729e-50,-2.0393715378984e-50,0,-2.0393715372541e-50,-2.0393715390091e-50,0,-2.0393715388101e-50,2.0393715491001e-50,969.93608062034,969.93608062072,0
7.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,2.3125745005484e-05,1,1.694015178873e-44,0,0,-1.6940151725414e-44,-1.6940151713625e-44,-1.6940151718882e-44,0,-1.6940151714207e-44,-1.694015172648e-44,0,-1.6940151725173e-44,1.6940151798549e-44,1113.4918371884,1113.4918371888,0
8.875e-05,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,2.6062347545862e-05,1,2.7689900627197e-39,0,0,-2.7689900537127e-39,-2.7689900520643e-39,-2.7689900528246e-39,0,-2.7689900521467e-39,-2.7689900538741e-39,0,-2.7689900536947e-39,2.7689900641568e-39,1257.6822015316,1257.6822015319,0
